rank,id,composite,tier_a_pass,chemotype,site,cnn_pose_F_mean,cnn_pose_F_stdev,cnn_pkd_F,vina_F,selectivity_score,n_site_F_contacts,mmgbsa_de_kcal,boltz_kd_uM,boltz_prob_binder,boltz_ipTM,smiles
36,FM001452_analog_0097,0.3653,False,fragment_FM001452_growing,F,0.8634,0.1316,4.067,-5.6,,,-0.92,12.957,0.3825,0.6961,COc1ccccc1COc1cccc(N)c1
37,gen_0032,0.3624,True,novel_BRICS_recombinant,F,0.5203,0.0942,5.964,-7.7,,,,,,,COc1cc2nc(-c3cccc(N)c3)nc(-c3cc4ccccc4cc3O)c2cc1N
38,Z795991852_analog_0024,0.357,True,quinazolinone_triazole_chromene_amide,F,0.5215,0.1108,5.977,-7.94,0.522,6.0,,,,,Cn1c(=O)c2ccccc2n2c(NC(=O)c3cccc(NC4Cc5ccccc5O4)c3)nnc12
39,gen_0006,0.3569,False,novel_BRICS_recombinant,F,0.482,0.0988,5.86,-7.96,,,,,,,COc1cc2nc(-c3cccc(N)c3)nc(NCc3ccc4c(c3)C(=O)NCC4)c2cc1N
40,Z795991852_analog_0086,0.3558,True,quinazolinone_triazole_chromene_amide,F,0.5171,0.1008,5.92,-8.21,,,,,,,Cn1c(=O)c2ccccc2n2c(Oc3cccc(C4Cc5ccccc5O4)c3)nnc12
41,Z795991852_analog_0066,0.3539,False,quinazolinone_triazole_chromene_amide,F,0.4788,0.0751,6.09,-8.22,,,,,,,Cn1c(=O)c2ccccc2n2c(Nc3cccc(C4Cc5ccccc5O4)c3)nnc12
42,Z795991852_analog_0039,0.3528,True,quinazolinone_triazole_chromene_amide,F,0.5006,0.1085,6.037,-7.95,0.422,6.0,,,,,Cn1c(=O)c2ccccc2n2c(C(=O)OC(=O)c3cccc(C4Cc5ccccc5O4)c3)nnc12
43,Z795991852_analog_0029,0.352,True,quinazolinone_triazole_chromene_amide,F,0.5844,0.1051,5.808,-7.16,,,,,,,Cn1c(=O)c2ccccc2n2c(C(=O)NCC3Cc4ccccc4O3)nnc12
44,gen_0018,0.3506,True,novel_BRICS_recombinant,F,0.5618,0.1306,5.807,-6.87,,,,,,,COc1cc2nc(-c3cccc(N)c3)nc(N(C)c3ncccc3F)c2cc1N
45,FM001452_analog_0128,0.346,False,fragment_FM001452_growing,F,0.8758,0.1051,3.801,-6.24,,,-1.23,15.864,0.2765,0.7859,Nc1cccc(OCc2cccc(C(F)(F)F)c2)c1
46,gen_0056,0.3443,True,novel_BRICS_recombinant,F,0.5512,0.1218,5.795,-7.38,,,,,,,COc1cc2nc(-c3cccc(N)c3)nc(N(C)c3cccnc3)c2cc1N
47,Z795991852_analog_0040,0.3398,False,quinazolinone_triazole_chromene_amide,F,0.4919,0.1105,5.953,-7.94,,,,,,,Cn1c(=O)c2ccccc2n2c(COC(=O)c3cccc(C4Cc5ccccc5O4)c3)nnc12
48,Z795991852_analog_0054,0.3351,False,quinazolinone_triazole_chromene_amide,F,0.4872,0.1081,6.14,-7.1,,,,,,,Cn1c(=O)c2ccccc2n2c(Oc3cccc(CNC4Cc5ccccc5O4)c3)nnc12
49,Z795991852_analog_0094,0.3332,True,quinazolinone_triazole_chromene_amide,F,0.5401,0.124,5.751,-7.52,,,,,,,Cn1c(=O)c2ccccc2n2c(-c3cccc(COCC4Cc5ccccc5O4)c3)nnc12
50,Z795991852_analog_0046,0.3295,False,quinazolinone_triazole_chromene_amide,F,0.4409,0.0755,5.968,-8.49,,,,,,,Cn1c(=O)c2ccccc2n2c(C(=O)Oc3cccc(C4Cc5ccccc5O4)c3)nnc12
51,Z795991852_analog_0070,0.3279,False,quinazolinone_triazole_chromene_amide,F,0.4385,0.1056,6.262,-7.3,,,,,,,Cn1c(=O)c2ccccc2n2c(Nc3cccc(NCC4Cc5ccccc5O4)c3)nnc12
52,Z795991852_analog_0016,0.3273,False,quinazolinone_triazole_chromene_amide,F,0.4608,0.0883,5.954,-8.06,,,,,,,Cn1c(=O)c2ccccc2n2c(Oc3cccc(OC(=O)C4Cc5ccccc5O4)c3)nnc12
53,gen_0051,0.3273,False,novel_BRICS_recombinant,F,0.4895,0.0714,5.772,-7.98,,,,,,,COc1cc2nc(-c3cccc(N)c3)nc(-c3ccc4ccccc4c3)c2cc1N
54,Z795991852_analog_0050,0.3268,True,quinazolinone_triazole_chromene_amide,F,0.5057,0.0907,5.769,-7.88,,,,,,,Cn1c(=O)c2ccccc2n2c(C(=O)OCc3cccc(C4Cc5ccccc5O4)c3)nnc12
55,gen_0057,0.3258,False,novel_BRICS_recombinant,F,0.4648,0.1123,6.06,-7.31,,,,,,,COc1cc2nc(-c3cccc(N)c3)nc(-c3c(C)noc3C)c2cc1N
56,Z795991852_analog_0034,0.3257,False,quinazolinone_triazole_chromene_amide,F,0.4087,0.0886,6.198,-8.06,,,,,,,Cn1c(=O)c2ccccc2n2c(-c3cccc(C(=O)NCC4Cc5ccccc5O4)c3)nnc12
57,FM001580_analog_0044,0.3241,False,fragment_FM001580_growing,F,0.848,0.1462,4.291,-6.24,,,-0.62,60.487,0.3192,0.6882,NC(=O)c1ccc(OC(F)(F)F)c(C(=O)O)c1
58,FM001580_analog_0015,0.3237,True,fragment_FM001580_growing,F,0.7861,0.0895,4.667,-6.16,,,-0.82,63.253,0.3,0.6985,NC(=O)c1cccc(OC(F)(F)F)c1C(=O)O
59,FM001580_analog_0051,0.3228,False,fragment_FM001580_growing,F,0.8572,0.1105,4.111,-5.91,,,-0.6,74.47,0.3498,0.7167,O=C(O)c1cc(CO)ccc1OC(F)(F)F
60,Z795991852_analog_0045,0.3215,True,quinazolinone_triazole_chromene_amide,F,0.5642,0.0904,5.431,-7.85,,,,,,,Cn1c(=O)c2ccccc2n2c(C(=O)OC3Cc4ccccc4O3)nnc12
61,Z795991852_analog_0074,0.3211,False,quinazolinone_triazole_chromene_amide,F,0.4516,0.1046,5.995,-7.83,,,,,,,Cn1c(=O)c2ccccc2n2c(-c3cccc(NCC4Cc5ccccc5O4)c3)nnc12
62,FM001452_analog_0044,0.3207,False,fragment_FM001452_growing,F,0.7683,0.1033,4.873,-5.97,,,,,,,Nc1cc(OCc2ccccc2)cc(S(N)(=O)=O)c1
63,gen_0003,0.3197,False,novel_BRICS_recombinant,F,0.4363,0.0714,5.726,-7.86,,,,,,,COc1cc2nc(-c3cccc(N)c3)nc(N3C(=O)c4ccccc4C3=O)c2cc1N
64,Z795991852_analog_0025,0.3177,True,quinazolinone_triazole_chromene_amide,F,0.5453,0.1281,5.696,-7.02,,,,,,,Cn1c(=O)c2ccccc2n2c(C(=O)NC3Cc4ccccc4O3)nnc12
65,Z795991852_analog_0092,0.3148,True,quinazolinone_triazole_chromene_amide,F,0.6385,0.1373,5.236,-6.88,,,,,,,Cn1c(=O)c2ccccc2n2c(COCC3Cc4ccccc4O3)nnc12
66,Z795991852_analog_0019,0.3142,True,quinazolinone_triazole_chromene_amide,F,0.6058,0.087,5.273,-7.36,,,,,,,Cn1c(=O)c2ccccc2n2c(COC(=O)C3Cc4ccccc4O3)nnc12
67,Z795991852_analog_0077,0.3138,False,quinazolinone_triazole_chromene_amide,F,0.468,0.1058,5.948,-7.4,,,,,,,Cn1c(=O)c2ccccc2n2c(-c3cccc(CNCC4Cc5ccccc5O4)c3)nnc12
68,Z795991852_analog_0049,0.3133,True,quinazolinone_triazole_chromene_amide,F,0.6372,0.1119,5.224,-6.89,,,,,,,Cn1c(=O)c2ccccc2n2c(C(=O)OCC3Cc4ccccc4O3)nnc12
69,gen_0043,0.3122,False,novel_BRICS_recombinant,F,0.4555,0.0972,5.979,-7.14,,,,,,,COc1cc2nc(-c3cccc(N)c3)nc(Oc3ncccn3)c2cc1N
70,gen_0065,0.3113,True,novel_BRICS_recombinant,F,0.5063,0.076,5.873,-6.81,,,,,,,COc1cc2nc(-c3cccc(N)c3)nc(Cc3nn[nH]n3)c2cc1N
71,FM002150_analog_0024,0.3108,False,fragment_FM002150_growing,F,0.8012,0.1623,4.091,-6.43,,,,,,,O=C(O)COCc1ccccc1-c1ccncc1
72,FM001580_analog_0002,0.3101,False,fragment_FM001580_growing,F,0.871,0.0861,3.983,-5.67,,,-0.67,42.92,0.2447,0.7111,NC(=O)c1ccccc1OC(F)(F)F
73,FM001580_analog_0029,0.3099,True,fragment_FM001580_growing,F,0.7506,0.1133,4.781,-6.26,,,,,,,O=C(O)c1c(OC(F)(F)F)cccc1-c1ccccn1
74,Z795991852_analog_0042,0.3097,False,quinazolinone_triazole_chromene_amide,F,0.4544,0.0814,5.832,-7.97,,,,,,,Cn1c(=O)c2ccccc2n2c(Oc3cccc(C(=O)OC4Cc5ccccc5O4)c3)nnc12
75,gen_0036,0.3096,False,novel_BRICS_recombinant,F,0.3816,0.0834,5.953,-8.51,,,,,,,COc1cc2nc(-c3cccc(N)c3)nc(Nc3ccc4c(c3)CCC(=O)N4)c2cc1N
76,Z795991852_analog_0084,0.3073,False,quinazolinone_triazole_chromene_amide,F,0.4417,0.1015,5.852,-8.05,,,,,,,Cn1c(=O)c2ccccc2n2c(-c3cccc(COC4Cc5ccccc5O4)c3)nnc12
77,FM001580_analog_0048,0.3063,False,fragment_FM001580_growing,F,0.8668,0.1218,4.38,-6.19,,,-0.96,93.373,0.2674,0.6773,CNC(=O)c1ccc(OC(F)(F)F)c(C(=O)O)c1
