id,smiles,reachability_score,best_reaction,reachable_via,bb1_smiles,bb2_smiles,amide_coupling_match,suzuki_match,buchwald_match,urea_match,thiourea_match,n_alkyl_match,o_alkyl_match
Z795991852_analog_0038,Cn1c(=O)c2ccccc2n2c(OC(=O)c3cccc(C4Cc5ccccc5O4)c3)nnc12,0.5,o_alkylation,o_alkylation,cccccCC(Br)C1=Cc=c-c(C(=O)Oc2=n-n=c3-n(C)-c(=O)-c4=c-c=c-c=c-4-n-2-3)=C1,[H]Oc1ccccc1C,0,0,0,0,0,0,1
Z795991852_analog_0085,Cn1c(=O)c2ccccc2n2c(Oc3cccc(COC4Cc5ccccc5O4)c3)nnc12,0.745,o_alkylation,o_alkylation,Cn1c(=O)c2ccccc2n2c(Oc3cccc(CBr)c3)nnc12,[H]OC1Cc2ccccc2O1,0,0,0,0,0,0,1
Z795991852_analog_0027,Cn1c(=O)c2ccccc2n2c(C(=O)Nc3cccc(OC4Cc5ccccc5O4)c3)nnc12,1.0,amide_coupling,"amide_coupling,o_alkylation",Cn1c(=O)c2ccccc2n2c(C(=O)O)nnc12,[H]Nc1cccc(OC2Cc3ccccc3O2)c1,1,0,0,0,0,0,1
gen_0033,COc1cc2nc(-c3cccc(N)c3)nc(C3(C)COC(=O)N3)c2cc1N,0.745,suzuki_miyaura,"amide_coupling,suzuki_miyaura,buchwald_hartwig,o_alkylation",COc1cc2nc(Br)nc(C3(C)COC(=O)N3)c2cc1N,Nc1cccc(B(O)O)c1,1,1,1,0,0,0,1
FM001452_analog_0129,CS(=O)(=O)c1cccc(COc2cccc(N)c2)c1,1.0,o_alkylation,"buchwald_hartwig,o_alkylation",CS(=O)(=O)c1cccc(CBr)c1,[H]Oc1cccc(N)c1,0,0,1,0,0,0,1
FM001452_analog_0102,NC(=O)c1ccccc1COc1cccc(N)c1,1.0,o_alkylation,"amide_coupling,buchwald_hartwig,o_alkylation",NC(=O)c1ccccc1CBr,[H]Oc1cccc(N)c1,1,0,1,0,0,0,1
Z795991852_analog_0041,Cn1c(=O)c2ccccc2n2c(OC(=O)c3cccc(OC4Cc5ccccc5O4)c3)nnc12,0.745,o_alkylation,o_alkylation,BrC1Cc2ccccc2O1,[H]Oc1cccc(C(=O)Oc2nnc3n(C)c(=O)c4ccccc4n23)c1,0,0,0,0,0,0,1
FM001452_analog_0138,Nc1cccc(OCc2cccc(CO)c2)c1,1.0,o_alkylation,"buchwald_hartwig,o_alkylation",OCc1cccc(CBr)c1,[H]Oc1cccc(N)c1,0,0,1,0,0,0,1
FM001452_analog_0097,COc1ccccc1COc1cccc(N)c1,1.0,o_alkylation,"buchwald_hartwig,o_alkylation",COc1ccccc1CBr,[H]Oc1cccc(N)c1,0,0,1,0,0,0,1
gen_0032,COc1cc2nc(-c3cccc(N)c3)nc(-c3cc4ccccc4cc3O)c2cc1N,0.745,suzuki_miyaura,"suzuki_miyaura,buchwald_hartwig,o_alkylation",COc1cc2nc(Br)nc(-c3cc4ccccc4cc3O)c2cc1N,Nc1cccc(B(O)O)c1,0,1,1,0,0,0,1
Z795991852_analog_0024,Cn1c(=O)c2ccccc2n2c(NC(=O)c3cccc(NC4Cc5ccccc5O4)c3)nnc12,1.0,amide_coupling,"amide_coupling,buchwald_hartwig,n_alkylation,o_alkylation",O=C(O)c1cccc(NC2Cc3ccccc3O2)c1,[H]Nc1nnc2n(C)c(=O)c3ccccc3n12,1,0,1,0,0,1,1
gen_0006,COc1cc2nc(-c3cccc(N)c3)nc(NCc3ccc4c(c3)C(=O)NCC4)c2cc1N,0.85,n_alkylation,"amide_coupling,suzuki_miyaura,buchwald_hartwig,n_alkylation,o_alkylation",O=C1NCCc2ccc(CBr)cc21,[H]Nc1nc(-c2cccc(N)c2)nc2cc(OC)c(N)cc12,1,1,1,0,0,1,1
Z795991852_analog_0086,Cn1c(=O)c2ccccc2n2c(Oc3cccc(C4Cc5ccccc5O4)c3)nnc12,0.5,o_alkylation,o_alkylation,cccccCC(Br)C1=Cc=c-c(Oc2=n-n=c3-n(C)-c(=O)-c4=c-c=c-c=c-4-n-2-3)=C1,[H]Oc1ccccc1C,0,0,0,0,0,0,1
