rank,id,smiles,chemotype,primary_site,n_sources,jack_boltz_kd_uM,jack_boltz_prob_binder,onepot_sim_pct,v3_local_rank,v3_scc_rank,v5_g_rank,v1_onepot_rank,orig_F_rank,jack_boltz_rank,site_A_rank,v3_local_vina_min,v3_local_pose,v3_local_pkd,v5_g_vina,v5_g_pose,v5_g_pkd
84,Z795991852_analog_0056,Cn1c(=O)c2ccccc2n2c(-c3cccc(NC4Cc5ccccc5O4)c3)nnc12,quinazolinone_chromene_amide,F,2,,,,22,25,,,,,,-8.46,0.6973,6.194,,,
85,Z795991852_analog_0062,Cn1c(=O)c2ccccc2n2c(CNc3cccc(NC4Cc5ccccc5O4)c3)nnc12,quinazolinone_chromene_amide,F,2,,,54,28,12,,,,,,-8.55,0.6824,6.162,,,
86,Z795991852_analog_0019,Cn1c(=O)c2ccccc2n2c(COC(=O)C3Cc4ccccc4O3)nnc12,quinazolinone_chromene_amide,F,2,,,,30,43,,,,,,-7.84,0.7689,5.436,,,
87,gen_0050,CNC(=O)COc1nc(-c2cccc(N)c2)nc2cc(OC)c(N)cc12,novel_BRICS,F,2,,,,32,69,,,,,,-7.06,0.8055,5.444,,,
88,Z795991852_analog_0080,Cn1c(=O)c2ccccc2n2c(OCc3cccc(OC4Cc5ccccc5O4)c3)nnc12,quinazolinone_chromene_amide,F,2,,,,38,46,,,,,,-8.54,0.6664,6.242,,,
89,Z795991852_analog_0060,Cn1c(=O)c2ccccc2n2c(COc3cccc(NC4Cc5ccccc5O4)c3)nnc12,quinazolinone_chromene_amide,F,2,,,,40,27,,,,,,-8.42,0.6807,6.119,,,
90,Z795991852_analog_0057,Cn1c(=O)c2ccccc2n2c(OCc3cccc(NC4Cc5ccccc5O4)c3)nnc12,quinazolinone_chromene_amide,F,2,,,56,47,14,,,,,,-8.62,0.6545,6.173,,,
91,Z795991852_analog_0073,Cn1c(=O)c2ccccc2n2c(CNc3cccc(C4Cc5ccccc5O4)c3)nnc12,quinazolinone_chromene_amide,F,2,,,,61,54,,,,,,-8.66,0.6481,6.049,,,
92,Z795991852_analog_0091,Cn1c(=O)c2ccccc2n2c(OCc3cccc(C4Cc5ccccc5O4)c3)nnc12,quinazolinone_chromene_amide,F,2,,,42,67,10,,,,,,-8.58,0.6421,6.062,,,
93,Z795991852_analog_0013,Cn1c(=O)c2ccccc2n2c(OC(=O)C3Cc4ccccc4O3)nnc12,quinazolinone_chromene_amide,F,2,,,,69,57,,,,,,-7.77,0.734,5.372,,,
94,FM001580_analog_0048,CNC(=O)c1ccc(OC(F)(F)F)c(C(=O)O)c1,trifluoromethoxy_benzoic,F,2,,,,70,,,,9,,,-6.13,0.9159,4.039,,,
95,FM002150_analog_0024,O=C(O)COCc1ccccc1-c1ccncc1,small_acid,F,2,,,,72,,,,43,,,-6.56,0.8715,4.336,,,
96,FM001580_analog_0019,CNC(=O)c1cccc(OC(F)(F)F)c1C(=O)O,trifluoromethoxy_benzoic,F,2,,,,73,,,,63,,,-6.41,0.8942,4.108,,,
97,Z795991852_analog_0088,Cn1c(=O)c2ccccc2n2c(Oc3cccc(OCC4Cc5ccccc5O4)c3)nnc12,quinazolinone_chromene_amide,A,2,,,,,55,,,,,21,,,,,,
98,Z795991852_analog_0061,Cn1c(=O)c2ccccc2n2c(Nc3cccc(NC4Cc5ccccc5O4)c3)nnc12,quinazolinone_chromene_amide,A,2,,,,,65,,,,,37,,,,,,
99,Z795991852_analog_0064,Cn1c(=O)c2ccccc2n2c(NCc3cccc(C4Cc5ccccc5O4)c3)nnc12,quinazolinone_chromene_amide,A,2,,,,,74,,,,,54,,,,,,
100,FM001452_analog_0201,NC(=O)Nc1cccc(OCc2ccccc2)c1,anilino_benzyl_ether,G,2,,,100,,,4,,47,,,,,,-6.07,0.8656,4.566
