cid,status,smiles,pLDDT,pTM,ipTM,ipTM_best,lig_iptm,confidence,confidence_best,affinity_log_kd_uM,affinity_kd_uM,affinity_pkd,affinity_prob_binder,elapsed_s,n_pdbs,n_models,pred_dir
FM002150_analog_0079,ok,NCc1ccc(COCC(=O)O)cc1,0.9258,0.9164,0.8195,0.8195,0.8195,0.9045,0.9045,1.536,34.345,4.464,0.2435,79.8,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM002150_analog_0079/boltz_results_FM002150_analog_0079/predictions/FM002150_analog_0079
FM002150_analog_0069,ok,NC(=O)c1ccc(COCC(=O)O)cc1,0.911,0.8798,0.8053,0.8053,0.8053,0.8898,0.8898,0.955,9.021,5.045,0.2994,79.2,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM002150_analog_0069/boltz_results_FM002150_analog_0069/predictions/FM002150_analog_0069
FM002150_analog_0077,ok,CCCc1ccc(COCC(=O)O)cc1,0.9155,0.9101,0.7997,0.7997,0.7997,0.8923,0.8923,0.957,9.063,5.043,0.2668,79.0,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM002150_analog_0077/boltz_results_FM002150_analog_0077/predictions/FM002150_analog_0077
FM002150_analog_0006,ok,COc1ccccc1COCC(=O)O,0.9063,0.892,0.7366,0.7366,0.7366,0.8724,0.8724,1.225,16.793,4.775,0.3296,78.7,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM002150_analog_0006/boltz_results_FM002150_analog_0006/predictions/FM002150_analog_0006
FM002150_analog_0047,ok,O=C(O)COCc1cccc(CO)c1,0.8986,0.8736,0.7193,0.7193,0.7193,0.8627,0.8627,1.257,18.088,4.743,0.378,83.9,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM002150_analog_0047/boltz_results_FM002150_analog_0047/predictions/FM002150_analog_0047
FM002150_analog_0073,ok,N#Cc1ccc(COCC(=O)O)cc1,0.9081,0.8793,0.7392,0.7392,0.7392,0.8743,0.8743,1.101,12.611,4.899,0.2654,78.9,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM002150_analog_0073/boltz_results_FM002150_analog_0073/predictions/FM002150_analog_0073
FM002150_analog_0075,ok,O=C(O)COCc1ccc(CO)cc1,0.9117,0.9007,0.7396,0.7396,0.7396,0.8773,0.8773,1.199,15.811,4.801,0.2788,78.7,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM002150_analog_0075/boltz_results_FM002150_analog_0075/predictions/FM002150_analog_0075
FM002150_analog_0032,ok,O=C(O)COCc1cccc(F)c1,0.9192,0.898,0.7039,0.7039,0.7039,0.8762,0.8762,1.496,31.362,4.504,0.191,78.7,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM002150_analog_0032/boltz_results_FM002150_analog_0032/predictions/FM002150_analog_0032
FM002150_analog_0081,ok,O=C(O)COCc1ccc(-c2ccccn2)cc1,0.8784,0.9048,0.7879,0.7879,0.7879,0.8603,0.8603,1.095,12.455,4.905,0.3438,79.1,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM002150_analog_0081/boltz_results_FM002150_analog_0081/predictions/FM002150_analog_0081
FM002150_analog_0046,ok,O=C(O)COCc1cccc(OCCO)c1,0.8884,0.9145,0.7881,0.7881,0.7881,0.8684,0.8684,1.531,33.932,4.469,0.2896,94.6,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM002150_analog_0046/boltz_results_FM002150_analog_0046/predictions/FM002150_analog_0046
FM002150_analog_0002,ok,O=C(O)COCc1cccnc1,0.9085,0.9065,0.7259,0.7259,0.7259,0.872,0.872,2.002,100.355,3.998,0.2396,78.5,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM002150_analog_0002/boltz_results_FM002150_analog_0002/predictions/FM002150_analog_0002
FM002150_analog_0042,ok,Cc1cccc(COCC(=O)O)c1,0.907,0.9166,0.7475,0.7475,0.7475,0.8751,0.8751,1.345,22.149,4.655,0.2509,78.8,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM002150_analog_0042/boltz_results_FM002150_analog_0042/predictions/FM002150_analog_0042
FM002150_analog_0071,ok,Cc1ccc(COCC(=O)O)cc1,0.9031,0.9013,0.7594,0.7594,0.7594,0.8743,0.8743,1.538,34.491,4.462,0.2447,79.0,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM002150_analog_0071/boltz_results_FM002150_analog_0071/predictions/FM002150_analog_0071
FM002150_analog_0083,ok,O=C(O)COCc1ccc(-c2ccsc2)cc1,0.8942,0.8699,0.8135,0.8135,0.8135,0.878,0.878,0.513,3.256,5.487,0.2993,79.2,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM002150_analog_0083/boltz_results_FM002150_analog_0083/predictions/FM002150_analog_0083
FM002150_analog_0036,ok,CCOc1cccc(COCC(=O)O)c1,0.8963,0.9126,0.8077,0.8077,0.8077,0.8785,0.8785,1.35,22.401,4.65,0.2285,79.1,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM002150_analog_0036/boltz_results_FM002150_analog_0036/predictions/FM002150_analog_0036
FM002150_analog_0040,ok,NC(=O)c1cccc(COCC(=O)O)c1,0.9012,0.9272,0.7979,0.7979,0.7979,0.8805,0.8805,1.305,20.187,4.695,0.3258,79.2,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM002150_analog_0040/boltz_results_FM002150_analog_0040/predictions/FM002150_analog_0040
FM002150_analog_0043,ok,Nc1cccc(COCC(=O)O)c1,0.9143,0.8958,0.821,0.821,0.821,0.8957,0.8957,1.361,22.968,4.639,0.3442,79.0,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM002150_analog_0043/boltz_results_FM002150_analog_0043/predictions/FM002150_analog_0043
FM002150_analog_0035,ok,COc1cccc(COCC(=O)O)c1,0.914,0.9053,0.7616,0.7616,0.7616,0.8835,0.8835,1.525,33.507,4.475,0.3163,79.7,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM002150_analog_0035/boltz_results_FM002150_analog_0035/predictions/FM002150_analog_0035
FM002150_analog_0072,ok,CNC(=O)c1ccc(COCC(=O)O)cc1,0.9089,0.908,0.7877,0.7877,0.7877,0.8846,0.8846,1.266,18.451,4.734,0.2637,79.3,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM002150_analog_0072/boltz_results_FM002150_analog_0072/predictions/FM002150_analog_0072
FM002150_analog_0015,ok,CNC(=O)c1ccccc1COCC(=O)O,0.8987,0.8943,0.8,0.8,0.8,0.8789,0.8789,1.305,20.175,4.695,0.2547,78.7,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM002150_analog_0015/boltz_results_FM002150_analog_0015/predictions/FM002150_analog_0015
FM002150_analog_0034,ok,O=C(O)COCc1cccc(C(=O)O)c1,0.8988,0.896,0.6483,0.6483,0.6483,0.8487,0.8487,1.2,15.857,4.8,0.3585,79.9,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM002150_analog_0034/boltz_results_FM002150_analog_0034/predictions/FM002150_analog_0034
FM002150_analog_0048,ok,CCc1cccc(COCC(=O)O)c1,0.8992,0.9184,0.7702,0.7702,0.7702,0.8734,0.8734,0.909,8.116,5.091,0.2079,78.8,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM002150_analog_0048/boltz_results_FM002150_analog_0048/predictions/FM002150_analog_0048
FM002150_analog_0064,ok,COc1ccc(COCC(=O)O)cc1,0.9176,0.9259,0.8275,0.8275,0.8275,0.8996,0.8996,1.286,19.331,4.714,0.2718,78.8,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM002150_analog_0064/boltz_results_FM002150_analog_0064/predictions/FM002150_analog_0064
FM002150_analog_0076,ok,CCc1ccc(COCC(=O)O)cc1,0.9143,0.9172,0.7797,0.7797,0.7797,0.8874,0.8874,1.105,12.734,4.895,0.2284,78.6,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM002150_analog_0076/boltz_results_FM002150_analog_0076/predictions/FM002150_analog_0076
FM002150_analog_0044,ok,CNC(=O)c1cccc(COCC(=O)O)c1,0.909,0.9149,0.8261,0.8261,0.8261,0.8924,0.8924,1.336,21.659,4.664,0.2489,78.8,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM002150_analog_0044/boltz_results_FM002150_analog_0044/predictions/FM002150_analog_0044
FM002150_analog_0080,ok,O=C(O)COCc1ccc(-c2ccncc2)cc1,0.8819,0.9114,0.8331,0.8331,0.8331,0.8722,0.8722,0.877,7.529,5.123,0.3782,79.5,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM002150_analog_0080/boltz_results_FM002150_analog_0080/predictions/FM002150_analog_0080
FM002150_analog_0063,ok,O=C(O)COCc1ccc(C(=O)O)cc1,0.8932,0.8998,0.6833,0.6833,0.6833,0.8512,0.8512,1.3,19.935,4.7,0.2911,79.4,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM002150_analog_0063/boltz_results_FM002150_analog_0063/predictions/FM002150_analog_0063
FM002150_analog_0074,ok,O=C(O)COCc1ccc(OCCO)cc1,0.8837,0.8943,0.7219,0.7219,0.7219,0.8514,0.8514,1.202,15.914,4.798,0.263,79.1,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM002150_analog_0074/boltz_results_FM002150_analog_0074/predictions/FM002150_analog_0074
FM002150_analog_0038,ok,CS(=O)(=O)c1cccc(COCC(=O)O)c1,0.8991,0.8942,0.7904,0.7904,0.7904,0.8773,0.8773,1.165,14.624,4.835,0.2543,78.3,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM002150_analog_0038/boltz_results_FM002150_analog_0038/predictions/FM002150_analog_0038
FM002150_analog_0056,ok,O=C(O)COCc1cccc(-c2ccsc2)c1,0.8985,0.8694,0.8155,0.8155,0.8155,0.8819,0.8819,0.921,8.333,5.079,0.267,79.0,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM002150_analog_0056/boltz_results_FM002150_analog_0056/predictions/FM002150_analog_0056
FM002150_analog_0065,ok,CCOc1ccc(COCC(=O)O)cc1,0.919,0.9,0.8138,0.8138,0.8138,0.898,0.898,1.144,13.923,4.856,0.2425,79.4,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM002150_analog_0065/boltz_results_FM002150_analog_0065/predictions/FM002150_analog_0065
gen_0001,ok,COc1cc2nc(-c3cccc(N)c3)nc(N3CCOC[C@]34CCOC4)c2cc1N,0.848,0.9012,0.7685,0.7685,0.7685,0.8321,0.8321,0.126,1.336,5.874,0.5827,81.1,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/gen_0001/boltz_results_gen_0001/predictions/gen_0001
gen_0002,ok,COc1cc2nc(-c3cccc(N)c3)nc(CN3C(=O)c4ccccc4C3=O)c2cc1N,0.8361,0.865,0.7605,0.7605,0.7605,0.821,0.821,0.503,3.183,5.497,0.6138,80.0,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/gen_0002/boltz_results_gen_0002/predictions/gen_0002
gen_0003,ok,COc1cc2nc(-c3cccc(N)c3)nc(N3C(=O)c4ccccc4C3=O)c2cc1N,0.8465,0.8851,0.7115,0.7115,0.7115,0.8195,0.8195,0.287,1.938,5.713,0.6396,80.5,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/gen_0003/boltz_results_gen_0003/predictions/gen_0003
gen_0004,ok,COc1cc2nc(-c3cccc(N)c3)nc(Cn3nc4ccccn4c3=O)c2cc1N,0.8661,0.9216,0.8577,0.8577,0.8577,0.8644,0.8644,0.503,3.185,5.497,0.598,79.9,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/gen_0004/boltz_results_gen_0004/predictions/gen_0004
gen_0005,ok,COc1cc2nc(-c3cccc(N)c3)nc(-c3nnc4n3CCCCC4)c2cc1N,0.864,0.8969,0.853,0.853,0.853,0.8618,0.8618,0.123,1.328,5.877,0.3984,79.9,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/gen_0005/boltz_results_gen_0005/predictions/gen_0005
